institution_id,institution,country,publications
I138690464,University of Ghana,Ghana,191
I4210089966,London School of Hygiene & Tropical Medicine,United Kingdom,159
I223822909,Heidelberg University,Germany,117
I4210159584,Ghana Health Service,Ghana,84
I11892038,University of Nigeria,Nigeria,80
I136199984,Harvard University,United States,76
I2802164966,University Hospital Heidelberg,Germany,72
I28046988,Kwame Nkrumah University of Science and Technology,Ghana,68
I4210156643,Harvard Global Health Institute,United States,66
I4432739,University of Bergen,Norway,64
I78281549,Instituut voor Tropische Geneeskunde,Belgium,62
I181631907,University of Ibadan,Nigeria,60
I4537092,Addis Ababa University,Ethiopia,60
I4210105654,World Health Organization,Switzerland,54
I70931966,Université de Montréal,Canada,53
I164861460,Manipal Academy of Higher Education,India,52
I2841861,Kenya Medical Research Institute,Kenya,51
I45294948,Post Graduate Institute of Medical Education and Research,India,50
I72227227,Makerere University,Uganda,49
I40120149,University of Oxford,United Kingdom,48
I1334329717,World Bank,United States,46
I83291730,University for Development Studies,Ghana,46
I157614274,University of Cape Town,South Africa,46
I4210166444,Institut de Recherche pour le Développement,France,46
I8764889,University of Gondar,Ethiopia,46
I133771110,University of Cape Coast,Ghana,46
I114292369,Ifakara Health Institute,Tanzania,46
I913958620,Erasmus University Rotterdam,Netherlands,45
I154526488,Inserm,France,44
I33278361,University of Zambia,Zambia,43
I158937107,Swiss Tropical and Public Health Institute,Switzerland,43
I145311948,Johns Hopkins University,United States,42
I254651091,University of Health and Allied Sciences,Ghana,41
I1850255,University of Basel,Switzerland,40
I155028946,Tribhuvan University,Nepal,40
I74653059,Public Health Foundation of India,India,39
I55633929,World Bank Group,United States,37
I197882922,International Institute for Population Sciences,India,36
I45711476,Obafemi Awolowo University,Nigeria,36
I154840374,Muhimbili University of Health and Allied Sciences,Tanzania,35
I201448701,University of Washington,United States,35
I197610006,University of Lagos,Nigeria,34
I1443707,Jimma University,Ethiopia,33
I12789410,Ahmadu Bello University,Nigeria,33
I4210124406,Amsterdam Institute for Global Health and Development,Netherlands,32
I887064364,University of Amsterdam,Netherlands,31
I157591606,University of Malawi,Malawi,30
I909854389,London School of Economics and Political Science,United Kingdom,30
I96840727,Cheikh Anta Diop University,Senegal,30
I192619145,University of the Witwatersrand,South Africa,30
I134542131,University of Ilorin,Nigeria,29
I28166907,Karolinska Institutet,Sweden,28
I63739035,All India Institute of Medical Sciences,India,27
I147168166,Moi University,Kenya,27
I4210163846,Institut de Recherche en Sciences de la Santé,Burkina Faso,27
I4210091642,Centre Population et Développement,France,27
I57092466,Bahir Dar University,Ethiopia,26
I124357947,University of London,United Kingdom,26
I52099693,University of York,United Kingdom,25
I4210098092,Ethiopian Public Health Institute,Ethiopia,25
I13144388,Ekiti State University,Nigeria,25
I4210142844,Navrongo Health Research Centre,Ghana,25
I4210087849,University of Rwanda,Rwanda,25
I6406202,University of Benin,Nigeria,24
I170897317,Duke University,United States,24
I4210120717,Faculty of Public Health,United Kingdom,24
I205889620,International Centre for Diarrhoeal Disease Research,Bangladesh,24
I3143470655,Institute for Health Metrics and Evaluation,United States,24
I181656237,Queen Margaret University,United Kingdom,24
I4210129448,African Population and Health Research Center,Kenya,23
I4210088493,Institute of Public Health Bengaluru,India,23
I114027177,University of North Carolina at Chapel Hill,United States,23
I12859529,University of Nairobi,Kenya,23
I204730241,Université Paris Cité,France,23
I8033065,University of Abuja,Nigeria,23
I15846685,Mzumbe University,Tanzania,22
I4210091910,Noguchi Memorial Institute for Medical Research,Ghana,22
I151104398,Pokhara University,Nepal,22
I4210162327,Centre de Recherche en Santé de Nouna,Burkina Faso,22
I1290603121,World Health Organization - Pakistan,Pakistan,22
I4210138037,National Health Systems Resource Centre,India,22
I3970730,University of Calabar,Nigeria,21
I205746353,University of Dhaka,Bangladesh,21
I1294671590,Centre National de la Recherche Scientifique,France,21
I183935753,King's College London,United Kingdom,21
I1283280774,Brigham and Women's Hospital,United States,21
I76414455,"Kasturba Medical College, Manipal",India,21
I26805570,Jomo Kenyatta University of Agriculture and Technology,Kenya,21
I207227095,Nnamdi Azikiwe University,Nigeria,21
I47508984,Imperial College London,United Kingdom,21
I153487414,Haramaya University,Ethiopia,21
I4403386569,"Santé, vulnérabilités et relations de genre au Sud",France,21
I111088046,Boston University,United States,20
I4210152286,University of Ilorin Teaching Hospital,Nigeria,20
I4210145929,Lagos State Health Service Commission,Nigeria,20
I4210152550,Abt Global (United States),United States,19
I21491767,Aix-Marseille Université,France,19
I1331070479,Université de Yaoundé I,Cameroon,19
I118185606,Aga Khan University,Pakistan,19
I194839184,Liverpool School of Tropical Medicine,United Kingdom,19
I45129253,University College London,United Kingdom,19
I4210092895,Ministry of Health,Uganda,18
I193649603,Hawassa University,Ethiopia,18
I100116408,University of Port Harcourt,Nigeria,18
I4210114501,Wollo University,Ethiopia,18
I193555791,Delta State University,Nigeria,18
I95023434,University of KwaZulu-Natal,South Africa,18
I4210158102,National Primary Health Care Development Agency,Nigeria,18
I865915315,Vrije Universiteit Amsterdam,Netherlands,17
I131561025,Enugu State University of Science and Technology,Nigeria,17
I3023574062,PharmAccess Group,Netherlands,17
I111406484,Ministry of Health,Ghana,17
I4210098792,Micro Insurance Academy,India,17
I185261750,University of Toronto,Canada,17
I4210144065,Oromiyaa Regional Health Bureau,Ethiopia,17
I78577930,Columbia University,United States,17
I4210164256,University of Nigeria Teaching Hospital,Nigeria,17
I51317819,Institute of Medical Sciences,India,17
I56590836,Monash University,Australia,17
I4210139943,World Health Organization Regional Office for Africa,Republic of the Congo,17
I34352273,Maastricht University,Netherlands,17
I5023651,McGill University,Canada,17
I2800598127,"University College Hospital, Ibadan",Nigeria,16
I145872427,Radboud University Nijmegen,Netherlands,16
I31746571,UNSW Sydney,Australia,16
I2802650199,Texila American University,Guyana,16
I7882870,University of Glasgow,United Kingdom,16
I115592961,Jiangsu University,China,16
I126541806,Lagos State University,Nigeria,16
I4210119417,Université d'Abomey-Calavi,Benin,16
I187531555,Lund University,Sweden,16
I193207422,Deutsche Gesellschaft für Internationale Zusammenarbeit,Philippines,16
I919958821,Bayero University Kano,Nigeria,15
I4210124077,Duke Institute for Health Innovation,United States,15
I165779595,The University of Melbourne,Australia,15
I2800182745,Government of Ethiopia,Ethiopia,15
I2799351866,Government of India,India,15
I153975220,Kenyatta University,Kenya,15
I263774594,University of Bamenda,Cameroon,15
I79741504,Tata Institute of Social Sciences,India,15
I64351976,University of Maiduguri,Nigeria,15
I301615471,Wollega University,Ethiopia,15
I4210156591,Indian Institute of Public Health Gandhinagar,India,15
I150314799,International Food Policy Research Institute,United States,15
I125749732,Western University,Canada,15
I130828816,University of Leeds,United Kingdom,15
I204337017,Aarhus University,Denmark,14
I2802934949,Radboud University Medical Center,Netherlands,14
I4210117096,Federal Medical Centre,Nigeria,14
I114017466,University of Technology Sydney,Australia,14
I165143802,The University of Queensland,Australia,14
I184942183,University of Oslo,Norway,14
I5518804,BRAC University,Bangladesh,14
I869660684,University of the Western Cape,South Africa,14
I4210141765,Institute for Peace Research and Security Policy,Germany,14
I180670191,"University of California, San Francisco",United States,14
I4210129108,Aix-Marseille Sciences Economiques,France,14
I90267481,Umeå University,Sweden,14
I4210128450,Department of Commerce,Australia,14
